Device: cuda
/home/hailong/miniforge3/envs/USEF-TFGridNet/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
Generator params: 7.81M
Discriminator params: 70.72M
Starting training from step 0 (phase 1)
step    4300 | phase 1 | loss_G 14.0624 | sep 6.6086 | stft 2.1417 | l1 0.0994 | amp 0.6575 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.44 | rss 1392MB | 0.51s
step    4400 | phase 1 | loss_G 12.7683 | sep 6.5102 | stft 1.8929 | l1 0.0972 | amp 0.5565 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.11 | rss 1392MB | 0.51s
step    4500 | phase 1 | loss_G 11.9752 | sep 3.8626 | stft 2.0042 | l1 0.0457 | amp 0.2989 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.53 | rss 1392MB | 0.51s
step    4600 | phase 1 | loss_G 9.3771 | sep 1.0819 | stft 1.7616 | l1 0.0568 | amp 0.1646 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.21 | rss 1392MB | 0.51s
step    4700 | phase 1 | loss_G 20.4541 | sep 7.2152 | stft 3.3618 | l1 0.0750 | amp 1.0271 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 3.02 | rss 1392MB | 0.51s
step    4800 | phase 1 | loss_G 2.1891 | sep -3.7369 | stft 0.8059 | l1 0.0559 | amp 0.0020 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.05 | rss 1392MB | 0.49s
step    4900 | phase 1 | loss_G 10.9406 | sep 5.3891 | stft 1.6414 | l1 0.0784 | amp 0.4966 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.65 | rss 1392MB | 0.51s
step    5000 | phase 1 | loss_G 8.9418 | sep 3.3981 | stft 1.4419 | l1 0.0667 | amp 0.2355 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.42 | rss 1392MB | 0.51s
Removed old checkpoint: ./checkpoints/checkpoint_0005000.pt
Saved checkpoint: ./checkpoints/checkpoint_0005000.pt
Validation loss: 3.2904 | si_sdr: -5.58 dB | rms_ratio: 1.762 | ta_energy: -18.8 dB
MILESTONE_EVAL step 5000 | si_sdr: -0.98 dB | rms_ratio: 1.280
REAL_AUDIO_CHECK step 5000 | est_rms: 0.0218 | mix_rms: 0.0255 | ratio: 0.853
  -> Saved: ./checkpoints/real_audio_step_0005000.wav
step    5100 | phase 1 | loss_G 7.4874 | sep 1.1153 | stft 1.3799 | l1 0.0609 | amp 0.0685 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.28 | rss 1392MB | 0.51s
step    5200 | phase 1 | loss_G 5.0458 | sep -2.9245 | stft 1.2970 | l1 0.0462 | amp 0.0896 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.32 | rss 1392MB | 0.51s
step    5300 | phase 1 | loss_G 12.2047 | sep 6.9120 | stft 1.7412 | l1 0.0858 | amp 0.4943 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.01 | rss 1392MB | 0.51s
step    5400 | phase 1 | loss_G 8.6043 | sep 4.5599 | stft 1.2581 | l1 0.0681 | amp 0.2188 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.60 | rss 1392MB | 0.51s
step    5500 | phase 1 | loss_G 12.9887 | sep 5.5108 | stft 2.0393 | l1 0.0736 | amp 0.5666 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.96 | rss 1392MB | 0.51s
step    5600 | phase 1 | loss_G 10.2026 | sep 4.2001 | stft 1.6164 | l1 0.0415 | amp 0.2298 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.78 | rss 1392MB | 0.49s
step    5700 | phase 1 | loss_G 6.1009 | sep 1.7388 | stft 1.0383 | l1 0.0799 | amp 0.0719 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.27 | rss 1392MB | 0.51s
step    5800 | phase 1 | loss_G 15.4572 | sep 8.9575 | stft 2.1894 | l1 0.0633 | amp 1.0237 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.96 | rss 1392MB | 0.51s
step    5900 | phase 1 | loss_G 5.4982 | sep 1.5701 | stft 0.9385 | l1 0.0418 | amp 0.2951 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.97 | rss 1392MB | 0.51s
step    6000 | phase 1 | loss_G 11.5985 | sep 6.3671 | stft 1.6769 | l1 0.0605 | amp 0.6915 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.56 | rss 1392MB | 0.51s
step    6100 | phase 1 | loss_G 5.0523 | sep 0.6114 | stft 0.9435 | l1 0.0579 | amp 0.0705 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.06 | rss 1392MB | 0.51s
step    6200 | phase 1 | loss_G 10.3496 | sep 7.8533 | stft 1.2792 | l1 0.0537 | amp 0.8044 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.41 | rss 1392MB | 0.51s
step    6300 | phase 1 | loss_G 8.7861 | sep 4.3980 | stft 1.3123 | l1 0.0511 | amp 0.2070 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.22 | rss 1392MB | 0.51s
step    6400 | phase 1 | loss_G 15.0930 | sep 7.7303 | stft 2.2359 | l1 0.0964 | amp 0.7425 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.38 | rss 1392MB | 0.49s
step    6500 | phase 1 | loss_G 11.9617 | sep 6.9537 | stft 1.6919 | l1 0.0506 | amp 0.4570 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.70 | rss 1392MB | 0.51s
step    6600 | phase 1 | loss_G 8.3440 | sep 5.0263 | stft 1.1600 | l1 0.0619 | amp 0.3214 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.18 | rss 1392MB | 0.51s
step    6700 | phase 1 | loss_G 7.8110 | sep -0.5205 | stft 1.6091 | l1 0.0512 | amp 0.0091 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.03 | rss 1392MB | 0.51s
step    6800 | phase 1 | loss_G 5.6990 | sep 0.0307 | stft 1.1322 | l1 0.0456 | amp 0.0123 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.06 | rss 1392MB | 0.51s
step    6900 | phase 1 | loss_G 14.9553 | sep 9.8040 | stft 2.0059 | l1 0.0473 | amp 0.6909 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.94 | rss 1392MB | 0.51s
step    7000 | phase 1 | loss_G 12.5302 | sep 8.8835 | stft 1.6142 | l1 0.0346 | amp 0.6847 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.60 | rss 1392MB | 0.51s
step    7100 | phase 1 | loss_G 9.2017 | sep 3.8878 | stft 1.4476 | l1 0.0394 | amp 0.1260 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.49 | rss 1392MB | 0.51s
step    7200 | phase 1 | loss_G 10.6675 | sep 6.2311 | stft 1.5031 | l1 0.0733 | amp 0.1943 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.53 | rss 1392MB | 0.49s
step    7300 | phase 1 | loss_G 11.7508 | sep 7.6583 | stft 1.5776 | l1 0.0677 | amp 0.4694 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.70 | rss 1392MB | 0.51s
step    7400 | phase 1 | loss_G 10.4759 | sep 3.6797 | stft 1.7204 | l1 0.0686 | amp 0.1237 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.13 | rss 1392MB | 0.51s
step    7500 | phase 1 | loss_G 8.8457 | sep 6.0157 | stft 1.1636 | l1 0.0399 | amp 0.5285 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.95 | rss 1392MB | 0.51s
step    7600 | phase 1 | loss_G 11.9919 | sep 6.3853 | stft 1.7580 | l1 0.0183 | amp 0.1798 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.38 | rss 1392MB | 0.51s
step    7700 | phase 1 | loss_G 11.9852 | sep 7.8841 | stft 1.6041 | l1 0.0456 | amp 0.4015 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.39 | rss 1392MB | 0.51s
step    7800 | phase 1 | loss_G 9.6650 | sep 5.9384 | stft 1.3331 | l1 0.0604 | amp 0.1618 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.28 | rss 1392MB | 0.51s
step    7900 | phase 1 | loss_G 14.3182 | sep 9.1549 | stft 1.9416 | l1 0.0654 | amp 0.5371 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.72 | rss 1392MB | 0.51s
step    8000 | phase 1 | loss_G 12.4183 | sep 6.7400 | stft 1.8029 | l1 0.0673 | amp 0.2102 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.28 | rss 1392MB | 0.49s
step    8100 | phase 1 | loss_G 17.6403 | sep 12.9338 | stft 2.2259 | l1 0.0875 | amp 0.9949 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.56 | rss 1392MB | 0.51s
step    8200 | phase 1 | loss_G 5.1082 | sep 0.2102 | stft 0.9949 | l1 0.0569 | amp 0.1245 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.85 | rss 1392MB | 0.51s
step    8300 | phase 1 | loss_G 7.5665 | sep 2.7884 | stft 1.2272 | l1 0.0725 | amp 0.0542 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.97 | rss 1392MB | 0.51s
step    8400 | phase 1 | loss_G 8.5839 | sep 4.4930 | stft 1.2625 | l1 0.0492 | amp 0.0569 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.02 | rss 1392MB | 0.51s
step    8500 | phase 1 | loss_G 6.4864 | sep 2.0785 | stft 1.0847 | l1 0.0473 | amp 0.0575 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 0.99 | rss 1392MB | 0.51s
step    8600 | phase 1 | loss_G 10.0083 | sep 5.8461 | stft 1.4116 | l1 0.0544 | amp 0.0521 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.23 | rss 1392MB | 0.51s
step    8700 | phase 1 | loss_G 11.4892 | sep 7.3833 | stft 1.5538 | l1 0.0568 | amp 0.2238 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.35 | rss 1392MB | 0.51s
step    8800 | phase 1 | loss_G 16.6059 | sep 11.7715 | stft 2.1401 | l1 0.0398 | amp 0.8300 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.23 | rss 1392MB | 0.49s
